Label,Parent Name,Atlas Name,Substitute,TA Name,Hierarchy,TA ID,Wikipedia Title
2,subcortex of left cerebral hemisphere,white matter of left cerebral hemisphere,,white substance of telencephalon,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.572,
3,Brain Atlas,skin,,skin,the integument,A16.0.00.002,Skin
4,left lateral ventricle,left lateral ventricle,,lateral ventricle,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.272,Lateral ventricles
5,left lateral ventricle,temporal horn of left lateral ventricle,,temporal horn,lateral ventricle;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.287,
7,left hemisphere of cerebellum,white matter of left hemisphere of cerebellum,,white substance of telencephalon,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.572,
11,striatum of left cerebral hemisphere,left caudate nucleus,,caudate nucleus,basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.502,Caudate nucleus
12,left lentiform nucleus,left putamen,,putamen,lentiform nucleus;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.507,Putamen
13,left globus pallidus,left globus pallidus pars externa,-,,,,
15,rhombencephalon,fourth ventricle,,fourth ventricle,rhombencephalon;brain;central nervous system;nervous system,A14.1.05.701,Fourth ventricle
17,left limbic lobe,left hippocampus,,hippocampus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.321,Hippocampus
18,left limbic lobe,left amygdala,amygdaloid body,amygdaloid body,basal forebrain;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.402,Amygdala
19,midbrain,aqueduct,,aqueduct of midbrain,mesencephalon;brain;central nervous system;nervous system,A14.1.06.501,
24,diencephalon,third ventricle,,third ventricle,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.410,Third ventricle
